Entity,Code,Year,Share of the population that was born in another country
Africa,,1990,2.5128212
Africa,,1995,2.2729368
Africa,,2000,1.8557024
Africa,,2005,1.7614838
Africa,,2010,1.655656
Africa,,2015,1.8592234
Africa,,2020,1.8298789
Africa,,2024,1.9259226
Asia,,1990,1.4539077
Asia,,1995,1.2842467
Asia,,2000,1.2695566
Asia,,2005,1.28873
Asia,,2010,1.5134797
Asia,,2015,1.7441233
Asia,,2020,1.802382
Asia,,2024,1.9137963
Europe,,1990,7.1176405
Europe,,1995,7.7556434
Europe,,2000,8.141332
Europe,,2005,9.006153
Europe,,2010,9.849122
Europe,,2015,10.195576
Europe,,2020,11.093237
Europe,,2024,12.646977
Japan,JPN,1990,0.85127795
Japan,JPN,1995,1.0591755
Japan,JPN,2000,1.3003997
Japan,JPN,2005,1.5452088
Japan,JPN,2010,1.6864495
Japan,JPN,2015,2.0251184
Japan,JPN,2020,2.6040568
Japan,JPN,2024,2.7551072
North America,,1990,7.1286716
North America,,1995,7.8386683
North America,,2000,8.797244
North America,,2005,9.409773
North America,,2010,9.949595
North America,,2015,10.382748
North America,,2020,10.509894
North America,,2024,10.787001
Oceania,,1990,17.797016
Oceania,,1995,17.540567
Oceania,,2000,17.135508
Oceania,,2005,17.793623
Oceania,,2010,19.152315
Oceania,,2015,20.11112
Oceania,,2020,21.011877
Oceania,,2024,21.482838
South America,,1990,1.4610897
South America,,1995,1.3168166
South America,,2000,1.2097287
South America,,2005,1.1932029
South America,,2010,1.3305426
South America,,2015,1.385085
South America,,2020,2.4032211
South America,,2024,2.8874183
Western Europe (UN),,1990,9.641711
Western Europe (UN),,1995,11.172125
Western Europe (UN),,2000,11.883732
Western Europe (UN),,2005,12.919403
Western Europe (UN),,2010,13.751713
Western Europe (UN),,2015,14.868627
Western Europe (UN),,2020,16.674917
Western Europe (UN),,2024,18.383818
World,OWID_WRL,1990,2.8889122
World,OWID_WRL,1995,2.8335404
World,OWID_WRL,2000,2.8283446
World,OWID_WRL,2005,2.9266183
World,OWID_WRL,2010,3.14743
World,OWID_WRL,2015,3.3468308
World,OWID_WRL,2020,3.4901335
World,OWID_WRL,2024,3.7246547