Entity,Code,Year,Total number of emigrants
Africa,,1990,19677870
Africa,,1995,21240099
Africa,,2000,21162547
Africa,,2005,24080357
Africa,,2010,27829220
Africa,,2015,34659532
Africa,,2020,40006733
Africa,,2024,45750673
Asia,,1990,54154302
Asia,,1995,56278875
Asia,,2000,62918051
Asia,,2005,69817605
Asia,,2010,85229256
Asia,,2015,101116455
Asia,,2020,111067828
Asia,,2024,120717155
Europe,,1990,48903415
Europe,,1995,49085200
Europe,,2000,47099214
Europe,,2005,47925446
Europe,,2010,50550986
Europe,,2015,51828564
Europe,,2020,53566246
Europe,,2024,61061575
North America,,1990,13193857
North America,,1995,17106222
North America,,2000,20282660
North America,,2005,23710635
North America,,2010,26628628
North America,,2015,28453157
North America,,2020,29630565
North America,,2024,31580108
Oceania,,1990,819761
Oceania,,1995,929288
Oceania,,2000,1071329
Oceania,,2005,1195774
Oceania,,2010,1353618
Oceania,,2015,1492055
Oceania,,2020,1549157
Oceania,,2024,1602503
South America,,1990,4094918
South America,,1995,4915310
South America,,2000,6240669
South America,,2005,8405080
South America,,2010,10398188
South America,,2015,10829815
South America,,2020,16909320
South America,,2024,21243834